"Plot Title: 07"
"#","Date Time, GMT+13:00","Temp, °C (LGR S/N: 10398688, SEN S/N: 10398688)","Coupler Detached (LGR S/N: 10398688)","Coupler Attached (LGR S/N: 10398688)","Host Connected (LGR S/N: 10398688)","Stopped (LGR S/N: 10398688)","End Of File (LGR S/N: 10398688)"
1,02/26/20 11:00:00 AM,31.689,Logged,,,,
2,02/26/20 11:05:00 AM,31.663,,,,,
3,02/26/20 11:10:00 AM,31.230,,,,,
4,02/26/20 11:15:00 AM,30.874,,,,,
5,02/26/20 11:20:00 AM,30.571,,,,,
6,02/26/20 11:25:00 AM,30.697,,,,,
7,02/26/20 11:30:00 AM,27.579,,,,,
8,02/26/20 11:35:00 AM,25.186,,,,,
9,02/26/20 11:40:00 AM,23.497,,,,,
10,02/26/20 11:45:00 AM,22.561,,,,,
11,02/26/20 11:50:00 AM,21.867,,,,,
12,02/26/20 11:55:00 AM,21.509,,,,,
13,02/26/20 12:00:00 PM,21.246,,,,,
14,02/26/20 12:05:00 PM,21.103,,,,,
15,02/26/20 12:10:00 PM,21.032,,,,,
16,02/26/20 12:15:00 PM,20.913,,,,,
17,02/26/20 12:20:00 PM,20.936,,,,,
18,02/26/20 12:25:00 PM,21.056,,,,,
19,02/26/20 12:30:00 PM,21.175,,,,,
20,02/26/20 12:35:00 PM,21.151,,,,,
21,02/26/20 12:40:00 PM,21.127,,,,,
22,02/26/20 12:45:00 PM,21.056,,,,,
23,02/26/20 12:50:00 PM,21.056,,,,,
24,02/26/20 12:55:00 PM,21.199,,,,,
25,02/26/20 01:00:00 PM,21.270,,,,,
26,02/26/20 01:05:00 PM,21.294,,,,,
27,02/26/20 01:10:00 PM,21.270,,,,,
28,02/26/20 01:15:00 PM,21.294,,,,,
29,02/26/20 01:20:00 PM,21.246,,,,,
30,02/26/20 01:25:00 PM,21.127,,,,,
31,02/26/20 01:30:00 PM,21.223,,,,,
32,02/26/20 01:35:00 PM,21.175,,,,,
33,02/26/20 01:40:00 PM,21.246,,,,,
34,02/26/20 01:45:00 PM,21.151,,,,,
35,02/26/20 01:50:00 PM,21.079,,,,,
36,02/26/20 01:55:00 PM,20.984,,,,,
37,02/26/20 02:00:00 PM,20.913,,,,,
